fecha;provincia;porcentaje_residentes_2a_dosis
11/01/2022;Palencia;84,69445675
11/01/2022;Segovia;81,90098907
11/01/2022;Soria;85,62058413
11/01/2022;Valladolid;84,89193295
11/01/2022;Salamanca;87,65569713
11/01/2022;Zamora;85,92573921
11/01/2022;TotalCyL;84,8207329
10/01/2022;Burgos;83,30686425
10/01/2022;Segovia;81,87362358
10/01/2022;Soria;85,58233203
10/01/2022;Zamora;85,88646329
10/01/2022;Ávila;85,78876598
10/01/2022;Palencia;84,6476756
10/01/2022;Valladolid;84,86850066
10/01/2022;TotalCyL;84,776389
10/01/2022;León;83,88371721
10/01/2022;Salamanca;87,60284894
09/01/2022;Ávila;85,42660341
09/01/2022;Burgos;82,90367678
09/01/2022;Soria;85,24481346
09/01/2022;Zamora;85,53298005
09/01/2022;León;83,63833941
09/01/2022;Segovia;81,40319785
09/01/2022;TotalCyL;84,41345382
09/01/2022;Palencia;84,19046787
09/01/2022;Salamanca;87,28393749
09/01/2022;Valladolid;84,45536244
08/01/2022;León;
08/01/2022;Soria;
08/01/2022;Valladolid;
08/01/2022;Burgos;
08/01/2022;Palencia;
08/01/2022;Salamanca;
08/01/2022;Zamora;
08/01/2022;TotalCyL;
08/01/2022;Ávila;
08/01/2022;Segovia;
07/01/2022;Burgos;
07/01/2022;Soria;
07/01/2022;Zamora;
07/01/2022;TotalCyL;
07/01/2022;Palencia;
07/01/2022;Ávila;
07/01/2022;León;
07/01/2022;Salamanca;
07/01/2022;Segovia;
07/01/2022;Valladolid;
06/01/2022;Ávila;85,35873757
06/01/2022;León;83,59956095
06/01/2022;Valladolid;84,40657718
06/01/2022;Palencia;84,1343305
06/01/2022;Salamanca;87,24080852
06/01/2022;Segovia;81,3354357
06/01/2022;Zamora;85,48022135
06/01/2022;TotalCyL;84,35887993
06/01/2022;Burgos;82,83293723
06/01/2022;Soria;85,1435579
05/01/2022;Ávila;
05/01/2022;León;
05/01/2022;Palencia;
05/01/2022;Segovia;
05/01/2022;Soria;
05/01/2022;TotalCyL;
05/01/2022;Burgos;
05/01/2022;Salamanca;
05/01/2022;Valladolid;
05/01/2022;Zamora;
04/01/2022;Ávila;85,30355693
04/01/2022;Burgos;82,78428631
04/01/2022;León;83,53405384
04/01/2022;Palencia;84,10251932
04/01/2022;Salamanca;87,21225835
04/01/2022;Soria;85,11430629
04/01/2022;Valladolid;84,38583383
04/01/2022;Segovia;81,25985483
04/01/2022;Zamora;85,45091097
04/01/2022;TotalCyL;84,31691607
03/01/2022;Valladolid;84,33896925
03/01/2022;Ávila;85,27311244
03/01/2022;León;83,49899987
03/01/2022;Palencia;84,07320314
03/01/2022;Segovia;81,22076128
03/01/2022;Burgos;82,74346428
03/01/2022;Salamanca;87,18431563
03/01/2022;Soria;85,0873048
03/01/2022;Zamora;85,37880742
03/01/2022;TotalCyL;84,27749927
02/01/2022;Ávila;85,26042724
02/01/2022;Salamanca;87,15515801
02/01/2022;Zamora;85,35770394
02/01/2022;Segovia;81,1758037
02/01/2022;Soria;85,01980109
02/01/2022;Valladolid;84,31515282
02/01/2022;TotalCyL;84,24538961
02/01/2022;Burgos;82,6883825
02/01/2022;León;83,47227121
02/01/2022;Palencia;84,04513445
01/01/2022;Salamanca;
01/01/2022;Burgos;
01/01/2022;León;
01/01/2022;Segovia;
01/01/2022;Zamora;
01/01/2022;Ávila;
01/01/2022;Palencia;
01/01/2022;Soria;
01/01/2022;Valladolid;
01/01/2022;TotalCyL;
31/12/2021;Burgos;
31/12/2021;León;
31/12/2021;Soria;
31/12/2021;Zamora;
31/12/2021;Palencia;
31/12/2021;Salamanca;
31/12/2021;Valladolid;
31/12/2021;Ávila;
31/12/2021;Segovia;
31/12/2021;TotalCyL;
30/12/2021;Ávila;
30/12/2021;Burgos;
30/12/2021;Valladolid;
30/12/2021;León;
30/12/2021;Segovia;
30/12/2021;Palencia;
30/12/2021;Salamanca;
30/12/2021;Soria;
30/12/2021;Zamora;
30/12/2021;TotalCyL;
29/12/2021;Soria;84,89604428
29/12/2021;Zamora;85,31491078
29/12/2021;TotalCyL;84,16020924
29/12/2021;Ávila;85,09234828
29/12/2021;Palencia;83,98712583
29/12/2021;Salamanca;87,07618946
29/12/2021;Segovia;81,05331057
29/12/2021;Valladolid;84,26694376
29/12/2021;Burgos;82,60058717
29/12/2021;León;83,36579477
28/12/2021;León;83,32175822
28/12/2021;Segovia;81,01030767
28/12/2021;Zamora;85,28677281
28/12/2021;TotalCyL;84,12772379
28/12/2021;Ávila;85,05302415
28/12/2021;Salamanca;87,04612067
28/12/2021;Valladolid;84,24735282
28/12/2021;Burgos;82,57066965
28/12/2021;Palencia;83,96217588
28/12/2021;Soria;84,836416
27/12/2021;Burgos;82,53571928
27/12/2021;Salamanca;86,99479111
27/12/2021;Soria;84,74866118
27/12/2021;Valladolid;84,19146104
27/12/2021;TotalCyL;84,08033177
27/12/2021;Ávila;85,0092602
27/12/2021;León;83,2632619
27/12/2021;Palencia;83,92974096
27/12/2021;Segovia;80,96274385
27/12/2021;Zamora;85,28032452
26/12/2021;Ávila;84,97691293
26/12/2021;Burgos;82,49909129
26/12/2021;Segovia;80,91583158
26/12/2021;TotalCyL;84,04342028
26/12/2021;León;83,22974154
26/12/2021;Palencia;83,88732605
26/12/2021;Salamanca;86,96350742
26/12/2021;Soria;84,60240313
26/12/2021;Valladolid;84,16341912
26/12/2021;Zamora;85,26273829
25/12/2021;Palencia;
25/12/2021;Ávila;
25/12/2021;Burgos;
25/12/2021;Salamanca;
25/12/2021;Segovia;
25/12/2021;Zamora;
25/12/2021;León;
25/12/2021;Soria;
25/12/2021;Valladolid;
25/12/2021;TotalCyL;
24/12/2021;Ávila;
24/12/2021;Burgos;
24/12/2021;Salamanca;
24/12/2021;Segovia;
24/12/2021;Valladolid;
24/12/2021;Zamora;
24/12/2021;TotalCyL;
24/12/2021;León;
24/12/2021;Palencia;
24/12/2021;Soria;
23/12/2021;León;
23/12/2021;Salamanca;
23/12/2021;Segovia;
23/12/2021;Palencia;
23/12/2021;Soria;
23/12/2021;Valladolid;
23/12/2021;Zamora;
23/12/2021;TotalCyL;
23/12/2021;Ávila;
23/12/2021;Burgos;
22/12/2021;León;83,06192065
22/12/2021;Palencia;83,78004129
22/12/2021;Zamora;85,225221
22/12/2021;Ávila;84,87035722
22/12/2021;Burgos;82,43841745
22/12/2021;Soria;84,53152423
22/12/2021;TotalCyL;83,96166382
22/12/2021;Salamanca;86,92493432
22/12/2021;Segovia;80,82526486
22/12/2021;Valladolid;84,11693867
