Fecha;Provincia;porcentaje_total
25/12/2021;Palencia;8,52857377
25/12/2021;Salamanca;9,39243178
25/12/2021;Valladolid;9,208163933
25/12/2021;Castilla y León;8,49695356
25/12/2021;Burgos;8,794149902
25/12/2021;León;7,883362534
25/12/2021;Segovia;8,359916067
24/12/2021;Ávila;7,484768122
24/12/2021;León;7,846201583
24/12/2021;Salamanca;9,338554745
24/12/2021;Segovia;8,304934808
24/12/2021;Soria;6,894316937
24/12/2021;Burgos;8,770742504
24/12/2021;Palencia;8,455098869
24/12/2021;Valladolid;9,138895487
24/12/2021;Castilla y León;8,446402149
24/12/2021;Zamora;7,751092486
23/12/2021;León;7,793608906
23/12/2021;Palencia;8,370898964
23/12/2021;Segovia;8,253472498
23/12/2021;Castilla y León;8,380645049
23/12/2021;Salamanca;9,253423998
23/12/2021;Soria;6,829487496
23/12/2021;Valladolid;9,038926997
23/12/2021;Ávila;7,444750886
23/12/2021;Burgos;8,738644188
23/12/2021;Zamora;7,701946551
22/12/2021;Palencia;8,282991006
22/12/2021;Salamanca;9,137818868
22/12/2021;Soria;6,782212458
22/12/2021;Zamora;7,627376316
22/12/2021;Ávila;7,382045057
22/12/2021;Burgos;8,690601608
22/12/2021;Segovia;8,181316153
22/12/2021;Castilla y León;8,296952272
22/12/2021;León;7,737439057
22/12/2021;Valladolid;8,904827768
21/12/2021;Burgos;8,657297658
21/12/2021;Palencia;8,184899972
21/12/2021;Salamanca;9,059724561
21/12/2021;Zamora;7,590251493
21/12/2021;Castilla y León;8,229635322
21/12/2021;Ávila;7,342205557
21/12/2021;León;7,687498722
21/12/2021;Segovia;8,122448728
21/12/2021;Soria;6,758909244
21/12/2021;Valladolid;8,785800787
20/12/2021;Salamanca;9,004397017
20/12/2021;Burgos;8,642216439
20/12/2021;Palencia;8,143356016
20/12/2021;Segovia;8,060518946
20/12/2021;Valladolid;8,692456233
20/12/2021;Zamora;7,553613892
20/12/2021;Ávila;7,317365487
20/12/2021;León;7,642311282
20/12/2021;Soria;6,734671543
20/12/2021;Castilla y León;8,179469691
19/12/2021;Ávila;7,304293366
19/12/2021;León;7,629484251
19/12/2021;Soria;6,721184621
19/12/2021;Burgos;8,628070811
19/12/2021;Salamanca;8,989492456
19/12/2021;Segovia;8,017815986
19/12/2021;Palencia;8,120398377
19/12/2021;Valladolid;8,648689053
19/12/2021;Zamora;7,537995702
19/12/2021;Castilla y León;8,156343419
18/12/2021;León;7,616459047
18/12/2021;Soria;6,705733349
18/12/2021;Valladolid;8,623558101
18/12/2021;Zamora;7,528068464
18/12/2021;Burgos;8,617646669
18/12/2021;Palencia;8,093974699
18/12/2021;Castilla y León;8,140201284
18/12/2021;Ávila;7,290925218
18/12/2021;Salamanca;8,982411288
18/12/2021;Segovia;7,996483144
17/12/2021;Burgos;8,604059901
17/12/2021;León;7,594102691
17/12/2021;Palencia;8,077517128
17/12/2021;Segovia;7,979012631
17/12/2021;Zamora;7,52404535
17/12/2021;Castilla y León;8,114513823
17/12/2021;Soria;6,696134632
17/12/2021;Ávila;7,271183525
17/12/2021;Salamanca;8,955321945
17/12/2021;Valladolid;8,568634348
16/12/2021;Ávila;7,25348496
16/12/2021;León;7,573018829
16/12/2021;Salamanca;8,933531133
16/12/2021;Valladolid;8,514009413
16/12/2021;Burgos;8,581907163
16/12/2021;Palencia;8,034032932
16/12/2021;Segovia;7,935408011
16/12/2021;Castilla y León;8,08289037
16/12/2021;Soria;6,673354661
